hora1,hora2,hora3,hora4,hora5,hora6,hora7,hora8,hora9,hora10,hora11,hora12,hora13,STO_PESO_REAL,overstock,festivo,dsemana_J,dsemana_L,dsemana_M,dsemana_S,dsemana_V,dsemana_X
32.4,22.06,25.18,24.16,22.55,17.18,20.42,12.04,29.93,27.04,30.310000000000002,15.61,4.78,7.998,0,0,0,1,0,0,0,0
20.51,22.34,36.72,29.13,31.86,14.870000000000001,5.67,10.84,22.79,21.27,33.41,29.93,11.67,165.213,0,0,0,0,1,0,0,0
20.12,18.0,26.67,30.87,19.11,11.700000000000001,7.6,8.73,16.98,30.99,18.89,18.13,3.34,150.545,1,0,0,0,0,0,0,1
21.96,21.36,30.13,31.8,28.28,10.51,11.35,13.43,10.93,20.99,31.81,19.17,3.11,76.919,1,0,1,0,0,0,0,0
40.79,24.57,33.42,32.06,22.07,17.37,15.65,21.05,24.16,21.21,28.61,18.46,2.3,6.025,0,0,0,0,0,0,1,0
41.3,25.38,43.37,56.14,31.19,25.54,13.39,16.58,21.43,32.53,21.06,1.11,0.0,4.309,0,0,0,0,0,1,0,0
35.839999999999996,35.63,54.17,38.86,29.93,17.39,9.74,17.95,20.52,19.94,29.84,13.17,0.74,26.828,1,0,0,1,0,0,0,0
28.01,20.75,30.35,19.55,19.66,8.54,5.28,8.61,20.49,18.63,34.85,8.41,5.5600000000000005,-2.09,0,0,0,0,1,0,0,0
18.28,24.73,27.08,18.69,31.96,17.240000000000002,6.34,10.34,14.629999999999999,34.35,29.88,14.55,4.26,21.384,0,0,0,0,0,0,0,1
19.36,22.85,26.72,31.32,23.35,14.57,9.77,12.82,10.08,6.08,1.4499999999999997,1.55,0.0,96.773,0,0,1,0,0,0,0,0
0.0,0.0,0.88,0.0,11.6,40.23,19.45,9.68,24.96,45.58,38.77,19.25,10.55,35.447,0,0,0,0,0,0,1,0
45.07,56.4,64.09,65.67,32.71,17.37,27.25,20.39,38.2,32.54,44.25,14.83,5.13,58.109,0,0,0,1,0,0,0,0
37.95,36.22,47.95,35.97,29.83,21.87,16.07,14.58,23.9,18.9,0.63,0.0,0.0,82.243,1,0,0,0,1,0,0,0
22.259999999999998,35.84,30.24,34.0,14.37,10.58,15.11,7.65,10.799999999999999,8.68,0.0,0.0,0.0,58.616,1,0,0,0,0,0,0,1
31.53,29.92,22.0,21.02,20.39,11.08,11.870000000000001,18.67,14.4,28.51,22.27,13.51,0.0,52.36,0,0,1,0,0,0,0,0
56.629999999999995,37.53,44.31,35.89,24.87,23.85,16.84,10.09,19.62,17.36,15.92,10.79,6.67,89.954,0,0,0,0,0,0,1,0
14.11,44.41,43.57,39.91,21.94,16.490000000000002,0.62,0.0,0.0,0.0,0.0,0.0,0.0,57.312,0,0,0,0,0,1,0,0
26.22,37.13,42.82,28.26,34.3,12.57,16.51,18.13,17.68,29.06,34.38,22.08,9.7,79.168,0,0,0,1,0,0,0,0
21.31,17.91,25.32,17.93,23.35,13.7,6.82,10.89,18.83,30.94,35.37,29.09,3.86,103.302,1,0,0,0,1,0,0,0
15.73,17.45,24.16,24.21,16.15,10.94,11.27,11.35,18.95,17.04,25.169999999999998,20.87,6.48,25.984,0,0,0,0,0,0,0,1
20.41,22.39,28.24,37.92,29.18,16.2,13.15,12.04,8.02,18.83,21.07,17.8,5.13,66.61,0,0,1,0,0,0,0,0
28.88,28.259999999999998,45.83,27.64,36.589999999999996,22.2,13.81,9.57,12.01,25.02,31.59,17.84,9.74,88.006,0,0,0,0,0,0,1,0
31.9,30.54,39.45,46.67,49.35,22.59,12.67,9.06,11.16,19.89,12.13,1.81,0.0,91.914,0,0,0,0,0,1,0,0
24.18,34.73,43.81,35.19,27.05,17.45,15.13,8.55,21.0,33.55,40.82,22.8,3.4,70.254,0,0,0,1,0,0,0,0
19.7,26.48,27.34,40.300000000000004,19.240000000000002,15.54,12.7,12.23,21.919999999999998,20.55,25.02,9.4,3.09,116.259,0,0,0,0,1,0,0,0
14.69,24.92,18.41,26.94,26.09,7.72,6.33,17.95,14.4,20.03,24.009999999999998,15.55,6.34,109.351,0,0,0,0,0,0,0,1
15.3,23.76,22.990000000000002,30.759999999999998,22.79,16.09,10.2,8.47,14.0,23.759999999999998,26.04,23.05,0.0,135.081,0,0,1,0,0,0,0,0
23.96,24.83,53.14,36.17,20.63,13.98,14.3,16.86,15.61,34.44,33.8,10.02,1.44,129.267,0,0,0,0,0,0,1,0
21.76,28.64,31.08,69.72,31.57,20.400000000000002,20.02,7.9,13.870000000000001,15.16,0.54,0.0,0.0,152.432,0,0,0,0,0,1,0,0
26.14,40.19,43.13,25.31,18.18,10.58,4.99,15.33,19.19,26.32,29.15,12.49,3.24,183.473,1,0,0,1,0,0,0,0
22.5,20.33,36.33,24.12,27.08,8.97,12.39,13.05,12.8,21.47,24.28,32.05,9.68,193.582,0,0,0,0,1,0,0,0
19.82,26.68,39.06,33.53,34.82,16.3,13.98,15.530000000000001,21.6,27.58,42.39,25.13,5.119999999999999,175.842,0,0,0,0,0,0,0,1
28.14,38.93,56.98,45.550000000000004,49.17,18.44,12.76,10.66,11.79,14.89,27.259999999999998,21.52,11.08,156.284,1,1,1,0,0,0,0,0
34.36,38.79,50.08,40.08,45.61,16.19,11.92,17.02,1.6600000000000001,0.47,0.0,0.36,0.0,62.06,0,0,0,0,0,1,0,0
43.39,51.79,59.1,48.29,58.72,17.32,17.94,17.2,35.37,38.57,37.14,26.82,8.700000000000001,75.382,1,0,0,0,1,0,0,0
16.37,25.52,20.38,38.04,24.39,10.13,8.629999999999999,5.83,9.99,15.35,17.25,16.54,3.07,65.778,0,0,0,0,0,0,0,1
27.36,30.08,21.57,34.17,41.04,17.3,16.6,13.7,15.89,21.080000000000002,22.009999999999998,7.79,0.0,65.559,0,0,1,0,0,0,0,0
25.83,37.96,41.73,31.21,34.13,16.09,23.79,17.85,13.3,7.52,0.57,0.0,0.0,74.885,0,0,0,0,0,0,1,0
29.85,37.78,34.55,48.66,28.04,35.12,9.17,12.86,14.63,2.7800000000000002,0.83,0.0,0.0,92.601,0,0,0,0,0,1,0,0
47.01,71.63,54.54,53.78,53.08,27.66,19.37,31.23,23.45,54.480000000000004,58.61,33.58,0.16,110.817,1,0,0,0,1,0,0,0
19.42,30.14,24.44,26.8,24.46,20.47,3.6500000000000004,9.58,17.14,0.0,0.54,0.0,0.0,93.135,1,0,0,0,0,0,0,1
16.6,18.89,19.06,33.06,25.01,15.01,12.27,13.77,23.07,25.15,24.23,34.59,5.75,53.759,0,0,1,0,0,0,0,0
26.4,28.98,45.31,35.519999999999996,31.56,9.34,16.6,21.96,14.62,34.15,24.11,32.08,11.99,154.285,1,0,0,0,0,0,1,0
26.29,31.7,42.97,48.71,34.1,27.79,7.4399999999999995,5.8,0.0,0.0,0.0,0.0,0.0,101.937,0,0,0,0,0,1,0,0
26.7,26.76,33.92,31.82,43.75,18.900000000000002,15.89,19.53,25.43,35.54,29.14,30.05,11.5,62.237,0,0,0,1,0,0,0,0
14.94,13.620000000000001,24.78,24.14,7.59,14.71,8.389999999999999,3.54,24.31,22.38,17.41,7.68,3.82,64.659,0,0,0,0,1,0,0,0
18.44,27.12,39.43,33.91,25.91,22.93,18.43,7.85,26.42,34.51,17.96,22.91,5.2,123.803,0,0,0,0,0,0,0,1
26.39,28.05,24.97,31.91,27.87,12.23,9.32,11.620000000000001,15.52,19.14,14.870000000000001,0.0,0.0,71.741,0,0,1,0,0,0,0,0
27.01,34.59,50.7,39.39,24.03,28.53,13.18,12.59,26.66,38.160000000000004,27.98,4.08,0.0,51.245,0,0,0,0,0,0,1,0
31.85,33.96,39.13,45.86,28.65,4.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.105,0,0,0,0,0,1,0,0
21.81,42.3,34.34,41.76,26.17,18.56,22.64,11.14,22.169999999999998,25.04,47.68,36.35,13.56,79.209,0,0,0,1,0,0,0,0
21.740000000000002,23.62,26.83,31.41,28.72,12.74,1.06,0.35,0.93,0.0,0.0,0.0,0.0,79.147,0,0,0,0,1,0,0,0
18.83,20.87,24.41,22.58,19.81,7.37,18.04,8.46,24.2,24.990000000000002,37.04,20.38,5.84,87.307,0,0,0,0,0,0,0,1
28.35,26.14,36.23,33.45,19.03,11.51,10.91,9.95,17.38,17.09,9.6,0.58,0.0,134.115,1,0,1,0,0,0,0,0
27.0,37.51,40.04,42.68,26.32,15.59,25.68,20.43,23.16,29.93,23.400000000000002,35.86,1.52,78.514,0,0,0,0,0,0,1,0
26.12,30.64,41.22,50.93,53.620000000000005,7.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.458,1,0,0,0,0,1,0,0
43.93,31.02,36.11,23.77,19.68,18.57,13.84,15.65,22.47,37.86,41.99,34.82,13.31,5.82,0,0,0,1,0,0,0,0
20.48,24.98,30.46,23.900000000000002,23.73,15.77,14.7,6.9799999999999995,23.8,25.52,13.77,0.0,0.0,117.128,0,0,0,0,1,0,0,0
17.96,27.8,37.66,41.49,23.03,9.66,12.54,13.6,13.42,22.85,20.83,16.87,0.0,59.536,0,0,0,0,0,0,0,1
24.11,26.65,25.82,35.63,20.0,12.65,8.23,10.68,13.7,26.59,36.35,11.16,0.0,87.348,0,0,1,0,0,0,0,0
36.39,40.15,32.7,38.13,25.82,20.03,19.8,12.34,13.59,29.830000000000002,32.83,29.53,11.19,101.498,1,0,0,0,0,0,1,0
18.400000000000002,44.68,34.54,45.86,54.03,36.79,22.57,13.19,7.9399999999999995,18.34,26.939999999999998,1.76,0.0,179.874,1,0,0,0,0,1,0,0
21.7,42.86,39.38,34.84,30.72,13.13,3.96,9.16,26.29,34.78,47.480000000000004,36.54,8.28,23.954,0,0,0,1,0,0,0,0
19.5,21.15,37.33,40.44,29.25,18.66,5.75,17.06,24.88,25.0,18.86,2.54,0.0,137.086,0,0,0,0,1,0,0,0
24.17,34.23,23.14,35.37,27.4,9.969999999999999,9.76,6.93,21.25,28.63,44.72,23.240000000000002,2.87,70.143,0,0,0,0,0,0,0,1
23.61,27.81,33.63,25.09,20.1,21.83,6.85,14.799999999999999,23.62,25.34,35.61,30.91,4.59,93.421,0,0,1,0,0,0,0,0
23.2,28.169999999999998,44.79,31.76,32.08,12.48,18.03,18.05,10.78,25.81,34.22,28.95,9.2,183.041,1,0,0,0,0,0,1,0
28.22,40.53,31.83,31.15,35.19,35.44,8.81,16.19,12.8,27.44,26.2,8.59,0.0,315.289,1,0,0,0,0,1,0,0
24.04,47.39,29.19,31.17,39.08,17.18,14.81,11.94,30.04,26.8,28.650000000000002,30.82,15.459999999999999,119.441,0,0,0,1,0,0,0,0
34.05,20.58,25.66,27.810000000000002,21.54,20.61,6.7,6.01,14.05,25.29,29.64,39.91,9.84,199.321,1,0,0,0,1,0,0,0
18.2,53.910000000000004,38.89,45.52,32.01,27.58,10.49,8.0,28.31,34.17,36.09,37.91,19.68,191.765,1,0,0,0,0,0,0,1
30.03,24.28,26.2,23.51,23.86,11.83,6.33,15.4,10.6,19.43,19.53,13.17,1.5,161.979,0,0,1,0,0,0,0,0
19.14,21.55,27.33,26.66,30.33,13.96,6.39,15.43,14.31,18.29,29.580000000000002,25.28,13.06,221.87,1,0,0,0,0,0,1,0
19.91,25.12,53.88,46.62,28.56,27.07,15.15,18.32,13.17,19.21,16.72,2.63,0.0,278.598,0,0,0,0,0,1,0,0
31.38,34.04,30.5,38.24,50.43,16.42,19.43,12.77,17.69,36.94,50.14,39.06,23.740000000000002,177.028,0,0,0,1,0,0,0,0
21.05,31.22,32.11,30.99,25.759999999999998,15.49,16.54,8.95,11.06,21.1,28.11,31.03,11.32,156.138,1,0,0,0,1,0,0,0
18.31,20.05,31.490000000000002,24.88,35.11,9.389999999999999,7.8999999999999995,6.13,0.43,0.0,0.56,0.0,0.0,57.02,1,0,0,0,0,0,0,1
11.89,20.35,20.63,25.89,21.9,13.51,6.42,10.84,19.89,22.05,24.37,19.66,11.12,1.001,0,0,1,0,0,0,0,0
35.54,41.19,35.72,31.509999999999998,26.17,12.85,9.99,9.0,17.34,13.28,22.490000000000002,22.85,3.6799999999999997,45.479,0,0,0,0,0,0,1,0
38.33,34.07,55.62,26.48,33.14,15.8,15.2,5.31,3.17,0.0,1.64,0.0,0.0,22.662,0,0,0,0,0,1,0,0
26.72,50.81,39.18,44.65,29.580000000000002,19.83,13.84,8.75,19.22,29.3,44.03,26.96,15.74,19.096,0,0,0,1,0,0,0,0
20.72,35.06,32.0,12.57,19.09,10.9,8.6,6.24,7.99,24.400000000000002,26.93,22.65,5.41,39.504,0,0,0,0,1,0,0,0
33.72,17.43,32.56,22.0,22.38,7.63,12.540000000000001,4.390000000000001,11.120000000000001,20.21,19.58,17.53,8.82,66.565,1,0,0,0,0,0,0,1
23.5,20.94,27.47,27.33,24.52,11.47,8.05,9.8,9.08,18.41,23.06,21.17,2.07,25.697,0,0,1,0,0,0,0,0
21.25,30.41,28.87,21.63,22.43,7.31,14.76,15.18,16.92,15.77,19.63,22.0,7.050000000000001,8.475,0,0,0,0,0,0,1,0
25.65,35.7,32.9,39.2,31.91,23.22,21.16,18.46,6.01,23.5,22.91,44.14,8.28,87.817,0,0,0,0,0,1,0,0
32.79,32.64,43.37,21.21,22.86,13.52,7.66,12.12,16.22,28.67,23.439999999999998,29.28,11.49,-4.856,0,0,0,1,0,0,0,0
15.74,21.05,36.89,20.5,16.2,9.82,9.31,15.29,8.98,23.32,16.28,18.72,7.17,210.428,1,0,0,0,1,0,0,0
17.13,27.52,32.03,23.17,17.84,11.31,11.48,9.9,6.33,13.32,13.92,14.22,4.3,125.154,0,0,0,0,0,0,0,1
24.36,26.58,29.18,26.81,24.330000000000002,13.89,7.57,11.31,14.370000000000001,10.96,34.71,18.79,9.66,40.548,1,0,1,0,0,0,0,0
65.29,46.31,59.25,63.56,25.580000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0
36.7,35.81,33.38,44.04,28.95,22.29,9.25,20.33,28.61,38.07,29.52,50.13,8.45,2.864,0,0,0,1,0,0,0,0
15.81,22.16,26.89,34.11,19.38,17.37,6.57,1.06,11.56,15.41,30.0,29.53,13.75,47.47,0,0,0,0,1,0,0,0
